Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,409.769989,412.529999,401.820007,409.459991,404.231659,1637300
2022-04-08,413.140015,419.929993,407.660004,418.299988,412.958801,1341900
2022-04-11,416.489990,425.559998,416.489990,418.510010,413.166138,1437700
2022-04-12,422.820007,427.500000,417.510010,419.730011,414.370544,1119700
2022-04-13,422.329987,427.959991,421.209991,427.290009,421.833984,1153200
2022-04-14,427.929993,439.410004,427.929993,436.750000,431.173187,1522700
2022-04-18,432.500000,445.529999,432.239990,438.450012,432.851532,1525700
2022-04-19,439.799988,441.519989,434.739990,437.820007,432.229553,1207800
2022-04-20,444.690002,446.760010,436.529999,437.390015,431.805023,1718200
2022-04-21,440.850006,441.040009,423.529999,424.359985,418.941406,1641300
2022-04-22,419.730011,420.809998,401.609985,403.570007,398.416870,2148800
2022-04-25,391.929993,391.929993,372.190002,385.510010,380.587494,4496300
2022-04-26,385.029999,390.640015,380.089996,381.769989,376.895203,1559000
2022-04-27,381.910004,390.070007,375.500000,385.529999,380.607208,1599200
2022-04-28,387.839996,390.059998,375.000000,384.820007,379.906281,1515200
2022-04-29,386.149994,389.970001,376.269989,377.549988,372.729095,1526800
2022-05-02,374.959991,382.489990,371.600006,381.230011,376.362122,1563400
2022-05-03,385.829987,390.720001,383.489990,389.440002,384.467285,1468200
2022-05-04,391.239990,398.410004,384.750000,396.350006,391.289063,1750100
2022-05-05,393.890015,396.160004,379.109985,383.040009,378.149017,1465800
2022-05-06,383.570007,383.570007,371.640015,377.459991,372.640259,1516100
2022-05-09,372.000000,374.549988,362.390015,364.529999,359.875366,1818100
2022-05-10,367.989990,371.489990,360.500000,364.750000,360.092590,1344100
2022-05-11,365.890015,374.489990,362.190002,364.029999,359.381744,1380900
2022-05-12,362.839996,367.570007,354.299988,362.980011,358.345184,1889400
2022-05-13,364.549988,370.000000,363.230011,366.690002,362.007782,1750300
2022-05-16,368.920013,382.429993,366.029999,374.450012,369.668701,1896400
2022-05-17,381.510010,386.010010,377.339996,384.260010,379.353455,1229300
2022-05-18,384.000000,385.089996,367.350006,368.670013,363.962524,1543400
2022-05-19,364.399994,370.450012,356.299988,364.619995,359.964233,2253600
2022-05-20,339.630005,344.369995,307.640015,313.309998,309.309387,8814300
2022-05-23,316.950012,337.269989,316.179993,335.359985,331.077820,4286400
2022-05-24,332.320007,337.929993,327.200012,337.029999,332.726501,1900600
2022-05-25,337.579987,345.730011,336.220001,342.970001,338.590637,2005800
2022-05-26,343.459991,348.920013,340.399994,347.510010,343.072723,1349900
2022-05-27,353.890015,360.880005,352.329987,360.730011,356.123871,1968000
2022-05-31,358.299988,362.149994,354.779999,357.779999,353.211578,2705000
2022-06-01,363.079987,363.079987,348.559998,352.149994,347.653442,1714800
2022-06-02,353.869995,361.410004,351.010010,361.079987,356.469421,1161600
2022-06-03,357.420013,363.640015,357.019989,361.000000,356.390442,1082200
2022-06-06,363.170013,363.809998,358.579987,362.910004,358.276062,1011000
2022-06-07,360.750000,368.510010,358.000000,367.839996,363.143097,987000
2022-06-08,360.950012,364.760010,354.029999,355.019989,350.486786,1772700
2022-06-09,351.100006,353.679993,345.299988,345.329987,340.920502,1415500
2022-06-10,336.880005,341.000000,333.380005,335.230011,330.949493,1327900
2022-06-13,325.000000,333.679993,322.299988,324.899994,320.751404,1816700
2022-06-14,326.170013,330.410004,322.579987,326.579987,322.409943,1630400
2022-06-15,328.380005,335.269989,325.470001,330.579987,326.358887,1442500
2022-06-16,322.540009,323.890015,314.640015,317.570007,313.514984,1799600
2022-06-17,314.730011,326.480011,314.730011,322.720001,318.599243,2329100
2022-06-21,330.899994,334.869995,327.850006,329.269989,325.065582,1425400
2022-06-22,321.000000,323.859985,317.630005,317.929993,313.870361,1636100
2022-06-23,314.790009,317.100006,295.589996,297.510010,293.711121,4232900
